title,location,price,bedroom,bathroom,area,year_contruction,maintenance,housing_type,operation_type,date_pub,url
Apartamento en alquiler en Ur. San Antonio,"Ur. San Antonio, Miraflores, Lima, Lima ","USD1,350",3 dormitorios,3 baños,202 m²,2009,S/.490,Apartamento,Alquiler,"Hace 1 día, 4 horas - Publicado por HABITALE BIENES RAICES",https://www.properati.com.pe/detalle/14032-32-9ff3-ce5e76c79581-1ee20465-af64-48cc
Apartamento en alquiler en Ba. S/N,"Ba. S/N, Rimac, Lima, Lima ","USD1,200",1 dormitorio,2 baños,134 m²,,S/.650,Apartamento,Alquiler,"Hace 4 días, 9 horas - Publicado por KRB Agencia Perú",https://www.properati.com.pe/detalle/14032-32-e243-fa558c79236d-1d09f077-a2ae-49d1
Apartamento en alquiler en Ur. Maranga Etapa Iii,"Ur. Maranga Etapa Iii, San Miguel, Lima, Lima ","S/.1,600",2 dormitorios,1 baño,100 m²,2000,S/.1,Apartamento,Alquiler,"Hace 1 día, 1 hora - Publicado por Navega Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-ed47-7db6a05efb99-19bfd252-8bad-4e87
Apartamento en alquiler en Ah. Las Casuarinas De Collique,"Ah. Las Casuarinas De Collique, Comas, Lima, Lima ","S/.1,000",3 dormitorios,2 baños,58 m²,2021,,Apartamento,Alquiler,Hace 9 horas - Publicado por Remax Integrity,https://www.properati.com.pe/detalle/14032-32-be12-5b270408187b-18cc9219-95c1-47ae
Apartamento en alquiler en Ur. Residencial El Rosal,"Ur. Residencial El Rosal, Santiago de Surco, Lima, Lima ",USD920,3 dormitorios,3 baños,126 m²,2019,S/.500,Apartamento,Alquiler,Hace 7 horas - Publicado por CASA VIP-CARLA ROSEMBERG,https://www.properati.com.pe/detalle/14032-32-3e4-8e360524f407-18b1d2ec-9934-4331
Apartamento en alquiler en Santiago de Surco,"Santiago de Surco, Lima, Lima ",USD680,3 dormitorios,2 baños,100 m²,,S/.236,Apartamento,Alquiler,20 ene. 2023 - Publicado por Zoila Loyola,https://www.properati.com.pe/detalle/14032-32-19e7-373cf3c72a6-217bde68-abe6-4c16
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",USD990,1 dormitorio,3 baños,102 m²,2019,S/.380,Apartamento,Alquiler,"Hace 1 día, 9 horas - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-3972-d3764fd50aef-18593f76-9b9c-4b00
Apartamento en alquiler en Miraflores,"Miraflores, Lima, Lima ",USD800,3 dormitorios,3 baños,92 m²,,S/.270,Apartamento,Alquiler,"Hace 1 día, 6 horas - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-b7f1-c7bf1b16d96b-e121746-9a5f-4d52
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ","S/.2,400",2 dormitorios,2 baños,78 m²,1983,,Apartamento,Alquiler,"Hace 3 días, 2 horas - Publicado por Olga esmeralda Rey Flores",https://www.properati.com.pe/detalle/14032-32-9588-5ae3e62d5c05-fe48ad74-9308-4b3d
Apartamento en alquiler en Ur. San Eugenio,"Ur. San Eugenio, Lince, Lima, Lima ","S/.2,600",1 dormitorio,1 baño,70 m²,2019,S/.300,Apartamento,Alquiler,"Hace 1 día, 5 horas - Publicado por Carola Aguilar",https://www.properati.com.pe/detalle/14032-32-182e-aaa17d5de265-137a8709-a383-4c73
